time,open,high,low,close,volume
2024-02-02,18.73,19.0,18.73,18.87,14168885
2024-02-05,18.87,19.14,18.87,18.94,16238284
2024-02-06,19.04,19.11,18.94,18.97,14667973
2024-02-07,18.97,19.14,18.97,19.04,13815720
2024-02-15,19.14,19.54,19.11,19.41,37002180
2024-02-16,19.44,19.48,19.34,19.34,16729914
2024-02-19,19.38,19.88,19.24,19.75,42298335
2024-02-20,19.75,19.85,19.65,19.75,21405084
2024-02-21,19.68,19.71,19.41,19.48,31597047
2024-02-22,19.41,19.48,19.31,19.31,22423703
2024-02-23,19.31,19.51,19.21,19.21,27315024
2024-02-26,19.21,19.48,19.14,19.48,19232263
2024-02-27,19.54,20.59,19.48,20.53,86882418
2024-02-28,20.56,20.93,20.39,20.69,35225601
2024-02-29,20.8,21.07,20.63,20.97,33602603
2024-03-01,21.1,21.1,20.73,20.86,26977136
2024-03-04,20.97,21.24,20.76,20.83,28600714
2024-03-05,20.83,21.17,20.76,21.07,29934805
2024-03-06,21.03,21.07,20.63,20.83,28078693
2024-03-07,20.76,21.2,20.69,20.97,32275896
2024-03-08,20.97,21.0,20.46,20.49,47338238
2024-03-11,20.49,20.69,20.15,20.22,30439370
2024-03-12,20.19,20.56,20.15,20.42,30148985
2024-03-13,20.42,20.86,20.36,20.83,29380668
2024-03-14,20.9,20.9,20.46,20.53,30792542
2024-03-15,20.53,20.76,20.29,20.36,35837317
2024-03-18,20.39,20.42,19.61,20.02,50128928
2024-03-19,19.95,20.69,19.88,20.15,26986377
2024-03-20,20.19,20.36,20.12,20.29,12979362
2024-03-21,20.53,20.66,20.36,20.46,19984496
2024-03-22,20.53,20.76,20.42,20.66,37402271
2024-03-25,20.66,20.93,20.32,20.42,21366246
2024-03-26,20.42,20.66,20.36,20.66,11986416
2024-03-27,20.9,21.03,20.69,20.69,24342964
2024-03-28,20.86,20.86,20.59,20.66,19124881
2024-03-29,20.69,20.69,20.46,20.46,14830426
2024-04-01,20.42,20.53,20.26,20.36,20772986
2024-04-02,20.22,20.56,20.15,20.56,26310579
2024-04-03,20.53,20.59,20.26,20.26,21500994
2024-04-04,20.26,20.32,19.98,20.02,26385240
2024-04-05,19.92,20.12,19.78,19.92,24030078
2024-04-08,19.92,20.15,19.82,20.02,16717695
2024-04-09,20.02,20.22,19.98,20.22,9846188
2024-04-10,20.26,20.36,20.05,20.05,11145329
2024-04-11,19.92,20.39,19.92,20.22,19255412
2024-04-12,20.29,20.36,20.19,20.26,13925121
2024-04-15,20.19,20.26,19.0,19.27,31131437
2024-04-16,19.27,19.31,18.83,19.17,33449847
2024-04-17,19.27,19.31,18.87,18.94,15597365
2024-04-19,18.8,19.17,18.6,18.8,26158064
2024-04-22,19.07,19.07,18.83,18.94,12398648
2024-04-23,18.94,18.97,18.56,18.67,18376759
2024-04-24,18.87,19.58,18.77,19.48,23062837
2024-04-25,19.41,19.41,19.14,19.31,11245215
2024-04-26,19.14,19.31,18.97,19.21,18314893
2024-05-02,19.21,19.21,18.97,19.17,7330111
2024-05-03,19.17,19.68,19.17,19.38,16725291
2024-05-06,19.51,19.85,19.48,19.82,27119741
2024-05-07,19.88,20.42,19.78,20.39,30152936
2024-05-08,20.39,20.97,20.12,20.76,34306978
2024-05-09,20.9,20.9,20.32,20.59,19434034
2024-05-10,20.69,20.73,20.26,20.59,18994649
2024-05-13,20.66,20.73,20.36,20.42,13182013
2024-05-14,20.56,20.76,20.36,20.42,15673953
2024-05-15,20.46,21.2,20.46,21.1,45136493
2024-05-16,21.37,21.54,21.27,21.37,27420436
2024-05-17,21.37,21.37,21.07,21.37,28657113
2024-05-20,21.4,21.74,21.37,21.64,46513904
2024-05-21,21.64,21.64,21.27,21.54,20879194
2024-05-22,21.54,21.61,21.07,21.17,39799786
2024-05-23,21.46,21.95,21.28,21.95,37896846
2024-05-24,21.8,21.95,21.2,21.5,30197105
2024-05-27,21.5,21.8,21.31,21.5,15778527
2024-05-28,21.57,21.72,21.42,21.69,17576389
2024-05-29,21.65,21.76,21.28,21.28,21619795
2024-05-30,21.2,21.24,20.83,21.02,27283359
2024-05-31,21.13,21.42,20.87,21.28,17748524
2024-06-03,21.42,21.65,21.42,21.57,20647812
2024-06-04,21.57,22.17,21.57,21.8,39674519
